epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
79,1364.59,0.027,0.98,1,0.02279,0.000162649,0.000162649,0.000162649
80,1382.46,0.00181,0.98,1,0.02293,0.000155581,0.000155581,0.000155581
81,1399.52,0.00858,0.98,1,0.0463,0.000148512,0.000148512,0.000148512
82,1416.64,0.02441,0.98,1,0.02759,0.000141443,0.000141443,0.000141443
83,1434,0.00758,0.98,1,0.05908,0.000134375,0.000134375,0.000134375
84,1451.4,0.00816,0.98,1,0.02939,0.000127306,0.000127306,0.000127306
85,1469.16,0.01763,0.98,1,0.02633,0.000120238,0.000120238,0.000120238
86,1487.63,0.0094,0.98,1,0.06038,0.000113169,0.000113169,0.000113169
87,1504.99,0.00528,0.98,1,0.05275,0.0001061,0.0001061,0.0001061
88,1522.15,0.04732,0.98,1,0.03054,9.90318e-05,9.90318e-05,9.90318e-05
89,1539.45,0.00799,0.98,1,0.03587,9.19632e-05,9.19632e-05,9.19632e-05
90,1556.43,0.00646,0.98,1,0.02646,8.48946e-05,8.48946e-05,8.48946e-05
91,1573.68,0.04439,0.98,1,0.0304,7.7826e-05,7.7826e-05,7.7826e-05
92,1591.6,0.04189,0.98,1,0.02613,7.07574e-05,7.07574e-05,7.07574e-05
93,1608.97,0.03943,0.98,1,0.03346,6.36888e-05,6.36888e-05,6.36888e-05
94,1625.96,0.01287,0.98,1,0.02284,5.66202e-05,5.66202e-05,5.66202e-05
95,1643.04,0.01021,0.98,1,0.04327,4.95516e-05,4.95516e-05,4.95516e-05
96,1660,0.00318,0.98,1,0.03254,4.2483e-05,4.2483e-05,4.2483e-05
97,1676.9,0.00336,0.98,1,0.03207,3.54144e-05,3.54144e-05,3.54144e-05
98,1694.04,0.00849,0.98,1,0.02992,2.83458e-05,2.83458e-05,2.83458e-05
99,1711.44,0.02008,0.98,1,0.02486,2.12772e-05,2.12772e-05,2.12772e-05
100,1728.92,0.02689,0.98,1,0.05192,1.42086e-05,1.42086e-05,1.42086e-05
